Rank,Sourceid,Title,Type,H index
2106,25368,Seminars in Liver Disease,journal,Q1
2107,12235,Journal of Neurotrauma,journal,Q1
2108,24034,Democratization,journal,Q1
2109,21100854881,Bioactive Materials,journal,Q1
2110,26035,Endocrine-Related Cancer,journal,Q1
2111,25055,Mathematical Research Letters,journal,Q1
2112,13760,Habitat International,journal,Q1
2113,16113,International Journal of Refrigeration,journal,Q1
2114,110527,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,conference and proceedings,-
2115,15143,Regional Studies,journal,Q1
2116,110111,IEEE Intelligent Systems,journal,Q1
2117,9500153997,Polymer Reviews,journal,Q1
2118,26183,Journal of Computer Assisted Learning,journal,Q1
2119,14698,Review of General Psychology,journal,Q1
2120,22064,Clinical Genetics,journal,Q1
2121,17625,Journal of Proteome Research,journal,Q1
2122,14356,Environment and Behavior,journal,Q1
2123,19700175042,Journal of Inflammation Research,journal,Q1
2124,17300154924,Epidemics,journal,Q1
2125,26109,Philosophical Studies,journal,Q1
2126,13333,Solar Energy,journal,Q1
2127,20927,Yale Journal of Biology and Medicine,journal,Q1
2128,21100467358,"2016 IEEE Winter Conference on Applications of Computer Vision, WACV 2016",conference and proceedings,-
2129,19627,Advances in Water Resources,journal,Q1
2130,27781,Publications of the Astronomical Society of the Pacific,journal,Q1
2131,22116,Tribology International,journal,Q1
2132,19700182749,Geoscience Frontiers,journal,Q1
2133,17225,Journal of Magnetic Resonance Imaging,journal,Q1
2134,500147005,Maternal and Child Nutrition,journal,Q1
2135,24364,"Computers, Materials and Continua",journal,Q1
2136,25697,Journal of Pest Science,journal,Q1
2137,18697,Theory and Society,journal,Q1
2138,21100349562,Aging and Disease,journal,Q1
2139,21100854164,IEEE Transactions on Computational Imaging,journal,Q1
2140,29817,International Orthopaedics,journal,Q1
2141,12862,Optics Express,journal,Q1
2142,26172,Journal of Endocrinology,journal,Q1
2143,50090,Journal of the Geological Society,journal,Q1
2144,21724,BMC Evolutionary Biology,journal,Q1
2145,14990,Current Neuropharmacology,journal,Q1
2146,21100367773,IEEE/CAA Journal of Automatica Sinica,journal,Q1
2147,28918,IEEE Transactions on Dependable and Secure Computing,journal,Q1
2148,23490,Journal of Scientific Computing,journal,Q1
2149,13444,Journal of the Meteorological Society of Japan,journal,Q1
2150,24657,Chemosphere,journal,Q1
2151,21100788289,Mobile Media and Communication,journal,Q1
2152,18069,Neurosurgery,journal,Q1
2153,21100269620,Semantic Web,journal,Q1
2154,21100898787,Stochastics and Partial Differential Equations: Analysis and Computations,journal,Q1
2155,21100788245,HotNets 2016 - Proceedings of the 15th ACM Workshop on Hot Topics in Networks,conference and proceedings,-
2156,13530,"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",journal,Q1
2157,28990,Tectonophysics,journal,Q1
2158,19700176401,Applied Economic Perspectives and Policy,journal,Q1
2159,18171,Computers and Structures,journal,Q1
2160,22773,Policy Sciences,journal,Q1
2161,25676,Nonlinear Differential Equations and Applications,journal,Q1
2162,26906,Advances in Anatomic Pathology,journal,Q1
2163,21100197156,Atmospheric Measurement Techniques,journal,Q1
2164,19209,Current Opinion in Rheumatology,journal,Q1
2165,24693,Journal of Applied Crystallography,journal,Q1
2166,28946,Seismological Research Letters,journal,Q1
2167,23140,Current Opinion in Lipidology,journal,Q1
2168,21100256955,Advances in Differential Equations,journal,Q1
2169,11700154702,Biotechnology for Biofuels,journal,Q1
2170,20842,British Journal of Management,journal,Q1
2171,20106,CNS Drugs,journal,Q1
2172,21100403917,Inorganic Chemistry Frontiers,journal,Q1
2173,4400151713,International Journal of Biological Sciences,journal,Q1
2174,14250,Australian and New Zealand Journal of Psychiatry,journal,Q1
2175,21524,Environmental Research,journal,Q1
2176,16444,Journal of Educational and Behavioral Statistics,journal,Q1
2177,21221,MRS Bulletin,journal,Q1
2178,25535,IEEE Transactions on Visualization and Computer Graphics,journal,Q1
2179,21100256974,Philosophers Imprint,journal,Q1
2180,21100781803,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2016",conference and proceedings,-
2181,28534,American Journal of Geriatric Psychiatry,journal,Q1
2182,28488,Economic Theory,journal,Q1
2183,19700183600,Journal of Hospitality Marketing and Management,journal,Q1
2184,19963,Molecular Pharmacology,journal,Q1
2185,21100469613,Movement Ecology,journal,Q1
2186,21100803368,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,conference and proceedings,-
2187,21100405003,Science Bulletin,journal,Q1
2188,16274,Journal of Constructional Steel Research,journal,Q1
2189,21100223304,SIAM Journal on Financial Mathematics,journal,Q1
2190,22483,Atherosclerosis,journal,Q1
2191,25801,Carbohydrate Polymers,journal,Q1
2192,26061,Endocrinology,journal,Q1
2193,23648,Health Technology Assessment,journal,Q1
2194,10300153305,Transboundary and Emerging Diseases,journal,Q1
2195,19900191708,Oncotarget,journal,Q1
2196,29070,The Gerontologist,journal,Q1
2197,21100926577,Review of Asset Pricing Studies,journal,Q1
2198,17533,Journal of International Money and Finance,journal,Q1
2199,20063,Biochemical Pharmacology,journal,Q1
2200,19757,International Journal of Antimicrobial Agents,journal,Q1
2201,21100403813,Organic Chemistry Frontiers,journal,Q1
2202,21100840442,Biomedicines,journal,Q1
2203,22138,"Genes, Brain and Behavior",journal,Q1
2204,19700187607,Journalism Studies,journal,Q1
2205,22762,Policy and Politics,journal,Q1
2206,25372,Psychology of Addictive Behaviors,journal,Q1
2207,17300154985,Autism Research,journal,Q1
2208,21100856193,Nutrition and Healthy Aging,journal,Q1
2209,15061,Agricultural Systems,journal,Q1
2210,25038,IEEE Transactions on Mobile Computing,journal,Q1
2211,21100915392,Synthetic Biology,journal,Q1
2212,11700154366,Journal of Leadership and Organizational Studies,journal,Q1
2213,14779,School Psychology Review,journal,Q1
2214,17340,IEEE Transactions on Automation Science and Engineering,journal,Q1
2215,18016,Autonomous Robots,journal,Q1
2216,25577,Diabetic Medicine,journal,Q1
2217,13300154704,Geography Compass,journal,Q1
2218,20356,Reviews in Medical Virology,journal,Q1
2219,12776,British Journal of Social Psychology,journal,Q1
2220,21100428281,Lupus Science and Medicine,journal,Q1
2221,19700201524,Stem Cell Research and Therapy,journal,Q1
2222,19700175052,Clinical Epidemiology,journal,Q2
2223,22193,"Genetics, Selection, Evolution",journal,Q1
2224,17361,IEEE Transactions on Industry Applications,journal,Q1
2225,22421,Journal of Clinical Virology,journal,Q1
2226,16259,Journal of Composites for Construction,journal,Q1
2227,16620,Plant Science,journal,Q1
2228,23326,American Journal of Physiology - Lung Cellular and Molecular Physiology,journal,Q1
2229,21100401153,Antimicrobial Resistance and Infection Control,journal,Q1
2230,22040,Chemical Geology,journal,Q1
2231,19400157006,Judgment and Decision Making,journal,Q1
2232,27237,IEEE/ACM Transactions on Networking,journal,Q1
2233,38062,Exercise Immunology Review,journal,Q1
2234,17259,IEEE Geoscience and Remote Sensing Letters,journal,Q1
2235,19400158590,Journal of Neurodevelopmental Disorders,journal,Q1
2236,21100904205,ACS Applied Energy Materials,journal,Q1
2237,19900194300,Journal of Systematics and Evolution,journal,Q1
2238,19700186336,Psychology of Violence,journal,Q1
2239,24201,Expert Systems with Applications,journal,Q1
2240,22307,HIV Medicine,journal,Q1
2241,3900148209,International Journal of Clinical and Health Psychology,journal,Q1
2242,19400158456,International Journal of Sustainable Transportation,journal,Q1
2243,22477,Investigational New Drugs,journal,Q1
2244,110175,Psychiatric Services,journal,Q1
2245,13517,Ultrasonics Sonochemistry,journal,Q1
2246,15000154802,EuroIntervention,journal,Q1
2247,28540,SIAM Journal on Computing,journal,Q1
2248,9500153979,Cancer Journal,journal,Q1
2249,24443,Construction and Building Materials,journal,Q1
2250,26320,Sedimentology,journal,Q1
2251,29321,Current Oncology Reports,journal,Q1
2252,13244,Evidence-Based Medicine,journal,Q1
2253,21100369735,Journal of Business Venturing Insights,journal,Q1
2254,16658,Preslia,journal,Q1
2255,21100943285,Research,journal,Q1
2256,20941,Ultramicroscopy,journal,Q1
2257,17600155126,Energy for Sustainable Development,journal,Q1
2258,18894,IEEE Antennas and Wireless Propagation Letters,journal,Q1
2259,27614,Resources and Energy Economics,journal,Q1
2260,21100448905,Translational Lung Cancer Research,journal,Q1
2261,29603,Clinical Orthopaedics and Related Research,journal,Q1
2262,30824,Foot and Ankle International,journal,Q1
2263,15112,Freshwater Biology,journal,Q1
2264,14812,Journal of Travel and Tourism Marketing,journal,Q1
2265,26419,SIAM Journal on Matrix Analysis and Applications,journal,Q1
2266,29756,Occupational and Environmental Medicine,journal,Q1
2267,16794,BMC Plant Biology,journal,Q1
2268,12246,Structural Control and Health Monitoring,journal,Q1
2269,21100312211,Climate Risk Management,journal,Q1
2270,19705,FEMS Microbiology Ecology,journal,Q1
2271,13880,Artificial Intelligence and Law,journal,Q1
2272,21100212900,Global Heart,journal,Q1
2273,23865,Journal of Economic Behavior and Organization,journal,Q1
2274,14160,Molecular Neurobiology,journal,Q1
2275,25098,Future of Children,journal,Q1
2276,22305,Surgery,journal,Q1
2277,21100316002,Travel Behaviour and Society,journal,Q1
2278,29391,Energy Journal,journal,Q1
2279,17700155033,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,journal,Q1
2280,14567,Technometrics,journal,Q1
2281,15185,Academic Emergency Medicine,journal,Q1
2282,22415,American Journal of Cardiology,journal,Q1
2283,19700175458,Epigenomics,journal,Q1
2284,19700170417,Journal of Information Technology and Politics,journal,Q1
2285,14500,Land Use Policy,journal,Q1
2286,21100262587,Differential and Integral Equations,journal,Q1
2287,28308,Endoscopy,journal,Q1
2288,18572,Parkinsonism and Related Disorders,journal,Q1
2289,14946,Group Processes and Intergroup Relations,journal,Q1
2290,4700151740,Journal of Broadcasting and Electronic Media,journal,Q1
2291,5200153123,Journal of Physical Chemistry C,journal,Q1
2292,17162,Public Administration,journal,Q1
2293,25040,INFORMS Journal on Computing,journal,Q1
2294,21105,International Journal of Fatigue,journal,Q1
2295,5800179606,Carbon Balance and Management,journal,Q1
2296,20712,Cellular Immunology,journal,Q2
2297,23185,European Journal of Cardio-thoracic Surgery,journal,Q1
2298,21100904922,European urology oncology,journal,Q1
2299,27343,Journal of Ethnic and Migration Studies,journal,Q1
2300,19700201679,Therapeutic Advances in Musculoskeletal Disease,journal,Q1
2301,5100155071,Foundations and Trends in Information Retrieval,journal,Q1
2302,16440,Journal of Translational Medicine,journal,Q1
2303,16530,Physiologia Plantarum,journal,Q1
2304,23256,System,journal,Q1
2305,21100787508,Journal of Global Health,journal,Q1
2306,22972,Journal of Purchasing and Supply Management,journal,Q1
2307,12344,"Scandinavian Journal of Work, Environment and Health",journal,Q1
2308,22904,Oxford Review of Economic Policy,journal,Q1
2309,21100395924,Audiology and Neurotology Extra,journal,Q1
2310,22009,Corporate Governance,journal,Q1
2311,19700176802,Journal of Physiotherapy,journal,Q1
2312,18164,Computers and Industrial Engineering,journal,Q1
2313,21100236803,Frontiers in Genetics,journal,Q1
2314,12061,Memory and Cognition,journal,Q1
2315,26599,European Urban and Regional Studies,journal,Q1
2316,7700153237,Journal of Cardiovascular Computed Tomography,journal,Q1
2317,19900193252,Journal of the American Taxation Association,journal,Q1
2318,26319,Sedimentary Geology,journal,Q1
2319,17560,Social Problems,journal,Q1
2320,25181,Electrochimica Acta,journal,Q1
2321,37369,Journal of Neurosurgery: Spine,journal,Q1
2322,12770,British Journal of Educational Psychology,journal,Q1
2323,21100370190,Current Opinion in Food Science,journal,Q1
2324,21780,Nonlinear Analysis: Real World Applications,journal,Q1
2325,24389,Journal of Industrial Economics,journal,Q1
2326,21100228068,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,journal,Q1
2327,16867,Biochemistry,journal,Q1
2328,19874,Journal of Science and Medicine in Sport,journal,Q1
2329,21100780414,"Modern Problems of Radio Engineering, Telecommunications and Computer Science, Proceedings of the 13th International Conference on TCSET 2016",conference and proceedings,-
2330,18009,Neuropsychologia,journal,Q1
2331,21100463549,Reviews in Physics,journal,Q1
2332,28502,Journal of Numerical Mathematics,journal,Q1
2333,22340,Research on Language and Social Interaction,journal,Q1
2334,21100469641,BMJ Open Diabetes Research and Care,journal,Q1
2335,5700191208,Journal of Clinical Lipidology,journal,Q1
2336,21100238622,Biomolecular Concepts,journal,Q1
2337,130105,"Accounting, Auditing and Accountability Journal",journal,Q1
2338,21100211738,European Journal of Preventive Cardiology,journal,Q1
2339,21100220161,Physics of the Dark Universe,journal,Q1
2340,19700182678,Polymer Chemistry,journal,Q1
2341,21100466856,Infectious Diseases and Therapy,journal,Q1
2342,50170,International Journal of Mechanical Sciences,journal,Q1
2343,27242,Laboratory Investigation,journal,Q1
2344,18062,Sociologia Ruralis,journal,Q1
2345,4000148904,Acta Physiologica,journal,Q1
2346,25184,Applied Mathematics Letters,journal,Q1
2347,12029,Applied Psychology,journal,Q1
2348,28275,Clinics in Liver Disease,journal,Q1
2349,21100781509,Journal of Public Policy and Marketing,journal,Q1
2350,21100853003,Lung Cancer International,journal,Q1
2351,18992,Neurogenetics,journal,Q2
2352,5300152235,Neuroscience Bulletin,journal,Q1
2353,25696,Nonlinearity,journal,Q1
2354,29605,Journal of Experimental Biology,journal,Q1
2355,15559,American Politics Research,journal,Q1
2356,20760,Current Infectious Disease Reports,journal,Q1
2357,21100201916,Pediatric obesity,journal,Q1
2358,19400158804,Translational Stroke Research,journal,Q1
2359,23234,Heart Failure Reviews,journal,Q1
2360,23311,American Journal of Physiology - Heart and Circulatory Physiology,journal,Q1
2361,24161,Computer Vision and Image Understanding,journal,Q1
2362,23665,International Business Review,journal,Q1
2363,21165,PharmacoEconomics,journal,Q1
2364,26032,Endocrine Practice,journal,Q1
2365,17025,Pflugers Archiv European Journal of Physiology,journal,Q1
2366,21100244230,Alcohol research : current reviews,journal,Q1
2367,26950,Journal of Colloid and Interface Science,journal,Q1
2368,24644,Journal of Physical and Chemical Reference Data,journal,Q1
2369,24790,Journal of the European Academy of Dermatology and Venereology,journal,Q1
2370,14189,Statistica Sinica,journal,Q1
2371,18300156704,Higher Education Research and Development,journal,Q1
2372,21100468501,Open Forum Infectious Diseases,journal,Q1
2373,19400158815,Communications in Information Literacy,journal,Q1
2374,25932,Current Opinion in Hematology,journal,Q1
2375,19900193571,Fluids and Barriers of the CNS,journal,Q1
2376,5400152621,Sustainability Science,journal,Q1
2377,16665,Journal of Biological Rhythms,journal,Q1
2378,20515,Seminars in Nephrology,journal,Q1
2379,12145,Biological Psychology,journal,Q1
2380,22094,Thin-Walled Structures,journal,Q1
2381,19900192726,Electronic Journal of Statistics,journal,Q1
2382,21100440607,Current environmental health reports,journal,Q1
2383,4700152489,Targeted Oncology,journal,Q1
2384,5000157803,Bilingualism,journal,Q1
2385,21100198495,Journal of the Academy of Nutrition and Dietetics,journal,Q1
2386,25300,Journal of Viral Hepatitis,journal,Q1
2387,20896,Telematics and Informatics,journal,Q1
2388,23180,Food Research International,journal,Q1
2389,32795,Journal of Dairy Science,journal,Q1
2390,17379,Molecular and Cellular Neurosciences,journal,Q2
2391,38020,Sub-Cellular Biochemistry,journal,Q1
2392,14882,Test,journal,Q1
2393,21100208066,Journal of Oral Microbiology,journal,Q1
2394,9500153964,American Journal of Physiology - Renal Physiology,journal,Q1
2395,21100247072,Biomaterials Science,journal,Q1
2396,21100777486,Elementa,journal,Q1
2397,22380,International Journal of Infectious Diseases,journal,Q1
2398,26643,Journal of General Internal Medicine,journal,Q1
2399,13030,Journal of Sound and Vibration,journal,Q1
2400,18640,Respiratory Research,journal,Q1
2401,21100394090,Infectious Diseases of Poverty,journal,Q1
2402,12925,Oecologia,journal,Q1
2403,21100438196,CIS Iron and Steel Review,journal,Q1
2404,26062,Endocrinology and Metabolism Clinics of North America,journal,Q1
2405,22111,Journal of Autism and Developmental Disorders,journal,Q1
2406,29325,Current Problems in Cancer,journal,Q1
2407,21100776084,Arthritis,journal,Q1
2408,14853,Cerebellum,journal,Q1
2409,22074,Current Genetics,journal,Q1
2410,23947,Journal of Multivariate Analysis,journal,Q1
2411,23486,Computing and Visualization in Science,journal,Q1
2412,17511,Glycobiology,journal,Q1
2413,16214,International Journal for Numerical and Analytical Methods in Geomechanics,journal,Q1
2414,21100228518,JAMA Otolaryngology - Head and Neck Surgery,journal,Q1
2415,24432,Journal of Structural Geology,journal,Q1
2416,21100199330,Advances in Calculus of Variations,journal,Q1
2417,22577,Food Control,journal,Q1
2418,6300153114,Fungal Biology Reviews,journal,Q1
2419,15665,General Hospital Psychiatry,journal,Q1
2420,19600157322,Journal of Cheminformatics,journal,Q1
2421,25488,Diabetes and Metabolism,journal,Q1
2422,29467,Hydrological Processes,journal,Q1
2423,21100805771,"2016 IEEE Conference on Visual Analytics Science and Technology, VAST 2016 - Proceedings",conference and proceedings,-
2424,19700175259,Journal of Geriatric Oncology,journal,Q1
2425,25702,Ore Geology Reviews,journal,Q1
2426,16047,Race Ethnicity and Education,journal,Q1
2427,25967,Social and Cultural Geography,journal,Q1
2428,20058,Innovative Food Science and Emerging Technologies,journal,Q1
2429,17282,Learning and Memory,journal,Q1
2430,21100865008,Neurology: Genetics,journal,Q1
2431,28582,Biogerontology,journal,Q1
2432,59988,European Journal of Agronomy,journal,Q1
2433,18204,Proceedings - IEEE INFOCOM,conference and proceedings,-
2434,19555,Veterinary Research,journal,Q1
2435,24451,Child Abuse and Neglect,journal,Q1
2436,21100248023,CPT: Pharmacometrics and Systems Pharmacology,journal,Q1
2437,145480,Environmental Health: A Global Access Science Source,journal,Q1
2438,29820,Histopathology,journal,Q1
2439,21100219314,Applied and Translational Genomics,journal,Q1
2440,21100866005,Cancer Communications,journal,Q1
2441,27476,Critical Reviews in Solid State and Materials Sciences,journal,Q1
2442,26438,Ergodic Theory and Dynamical Systems,journal,Q1
2443,5100155078,Foundations and Trends in Computer Graphics and Vision,journal,Q1
2444,21100406884,IMA Fungus,journal,Q1
2445,32816,Neural Plasticity,journal,Q1
2446,86430,Remote Sensing,journal,Q1
2447,23168,Language Testing,journal,Q1
2448,13239,Molecular Nutrition and Food Research,journal,Q1
2449,21100198497,Quality Technology and Quantitative Management,journal,Q1
2450,21100790929,Frontiers in Marine Science,journal,Q1
2451,21100940460,Network Neuroscience,journal,Q1
2452,18916,Social Science Computer Review,journal,Q1
2453,23308,American Journal of Physiology - Endocrinology and Metabolism,journal,Q1
2454,4000149409,Quarterly Journal of Experimental Psychology,journal,Q1
2455,19700184600,Acta Ophthalmologica,journal,Q1
2456,16703,American Journal of Botany,journal,Q1
2457,20624,Clinical Pharmacokinetics,journal,Q1
2458,27298,ICES Journal of Marine Science,journal,Q1
2459,21219,Meat Science,journal,Q1
2460,22810,British Journal of Criminology,journal,Q1
2461,21100228536,Journal of Destination Marketing and Management,journal,Q1
2462,21100886355,Journal of Fungi,journal,Q1
2463,21100874237,Physical Review A,journal,Q1
2464,23911,Analytica Chimica Acta,journal,Q1
2465,17497,British Journal of Sociology,journal,Q1
2466,17800156748,"Groups, Geometry, and Dynamics",journal,Q1
2467,18200156707,"Psychological Trauma: Theory, Research, Practice, and Policy",journal,Q1
2468,15422,Work and Stress,journal,Q1
2469,21100317418,International Journal of Precision Engineering and Manufacturing - Green Technology,journal,Q1
2470,25456,Proceedings - IEEE International Conference on Robotics and Automation,conference and proceedings,-
2471,5700156763,Teachers and Teaching: Theory and Practice,journal,Q1
2472,26613,Administration and Policy in Mental Health and Mental Health Services Research,journal,Q1
2473,25294,Journal of Cystic Fibrosis,journal,Q1
2474,23475,Journal of Neurophysiology,journal,Q1
2475,144971,Linguistic Inquiry,journal,Q1
2476,21843,Anesthesia and Analgesia,journal,Q1
2477,19700175783,Breast Cancer: Targets and Therapy,journal,Q1
2478,19900193985,Cell and Bioscience,journal,Q1
2479,16318,IEEE Transactions on Biomedical Engineering,journal,Q1
2480,14283,"Proteins: Structure, Function and Genetics",journal,Q1
2481,20898,Environment and Urbanization,journal,Q1
2482,28137,International Journal of Nursing Studies,journal,Q1
2483,21100784726,Journal of Molecular Psychiatry,journal,Q2
2484,100147345,Journal of Sociolinguistics,journal,Q1
2485,28449,Journal of Volcanology and Geothermal Research,journal,Q1
2486,17400154824,Stem Cell Reviews and Reports,journal,Q2
2487,29265,Clinical Lung Cancer,journal,Q1
2488,20422,International Communications in Heat and Mass Transfer,journal,Q1
2489,21100394399,Orthopaedic Journal of Sports Medicine,journal,Q1
2490,23019,Prevention Science,journal,Q1
2491,23687,Marketing Letters,journal,Q1
2492,17500154721,Parasites and Vectors,journal,Q1
2493,18140,Sociology of Religion,journal,Q1
2494,21100403920,Structural Dynamics,journal,Q1
2495,18136,Applied Soft Computing Journal,journal,Q1
2496,26825,Coral Reefs,journal,Q1
2497,13930,Journal of Planning Literature,journal,Q1
2498,94948,World Journal of Biological Psychiatry,journal,Q1
2499,28324,Current Issues in Tourism,journal,Q1
2500,22645,Geothermics,journal,Q1
2501,14155,Molecular Genetics and Metabolism,journal,Q1
2502,19500156812,"Psychology of Aesthetics, Creativity, and the Arts",journal,Q1
2503,21100842667,Wellcome Open Research,journal,Q1
2504,73771,Agricultural Economics,journal,Q1
2505,12595,Breast,journal,Q1
2506,21100843337,SOIL,journal,Q1
2507,29551,Bone,journal,Q1
2508,20209,Business Horizons,journal,Q1
2509,18446,Cell and Tissue Research,journal,Q1
2510,25538,Diabetes Research and Clinical Practice,journal,Q1
2511,15852,Journal of Cellular and Molecular Medicine,journal,Q1
2512,20928,Environmental and Resource Economics,journal,Q1
2513,14117,European Journal of Social Psychology,journal,Q1
2514,27507,Infectious Diseases in Obstetrics and Gynecology,journal,Q1
2515,21100201945,International Journal of Mining Science and Technology,journal,Q1
2516,19200156952,Journal of Innate Immunity,journal,Q1
2517,12266,Journal of Spinal Disorders and Techniques,journal,Q1
2518,21100865101,Synthesis Lectures on Human Language Technologies,book series,Q1
2519,19295,"Gender, Work and Organization",journal,Q1
2520,29210,Physics of Fluids,journal,Q1
2521,28070,Combinatorics Probability and Computing,journal,Q1
2522,26088,Transfusion Medicine Reviews,journal,Q1
2523,21100385960,American Journal of Cultural Sociology,journal,Q1
2524,22488,Basic Research in Cardiology,journal,Q1
2525,24337,Dermatologic Clinics,journal,Q1
2526,21100307458,Ecosphere,journal,Q1
2527,26005,IEEE Electron Device Letters,journal,Q1
2528,30016,Journal of Nonverbal Behavior,journal,Q1
2529,21100243003,Nutrition and Diabetes,journal,Q1
2530,16595,Plant Cell Reports,journal,Q1
2531,95143,Fungal Ecology,journal,Q1
2532,21576,Nonlinear Dynamics,journal,Q1
2533,19700175026,Oxidative Medicine and Cellular Longevity,journal,Q1
2534,22494,Population Health Metrics,journal,Q1
2535,18658,Production Planning and Control,journal,Q1
2536,144827,GPS Solutions,journal,Q1
2537,21461,International Journal for Equity in Health,journal,Q1
2538,29066,Nuclear Fusion,journal,Q1
2539,36513,BMC Infectious Diseases,journal,Q1
2540,27965,Geophysics,journal,Q1
2541,17900156729,Journal of Human Capital,journal,Q1
2542,11500153509,Journal of Oncology Practice,journal,Q1
2543,19170,Industrial Management and Data Systems,journal,Q1
2544,21100255407,Journal of CO2 Utilization,journal,Q1
2545,26405,SIAM Journal on Control and Optimization,journal,Q1
2546,12100156754,Sport Management Review,journal,Q1
2547,15220,Annals of Emergency Medicine,journal,Q1
2548,25155,Catena,journal,Q1
2549,19700187626,Cognitive Neuroscience,journal,Q2
2550,29767,European Journal of Surgical Oncology,journal,Q1
2551,40751,Evolutionary Anthropology,journal,Q1
2552,29220,Experimental Thermal and Fluid Science,journal,Q1
2553,27277,Journal of Network and Computer Applications,journal,Q1
2554,27417,Transformation Groups,journal,Q1
2555,18928,Journal of Human Genetics,journal,Q2
2556,19700170231,Criminology and Public Policy,journal,Q1
2557,21129,European Spine Journal,journal,Q1
2558,29102,Health and Place,journal,Q1
2559,24481,Bulletin of the London Mathematical Society,journal,Q1
2560,20230,Journal of General Virology,journal,Q2
2561,21100228571,Revista española de cardiología (English ed.),journal,Q1
2562,21100901163,Advanced Structural and Chemical Imaging,journal,Q1
2563,21100777183,Journal of Family Theory and Review,journal,Q1
2564,21721,Journal of Refractive Surgery,journal,Q1
2565,28751,Critical Social Policy,journal,Q1
2566,26979,Geomorphology,journal,Q1
2567,21100817643,Perspectives in Ecology and Conservation,journal,Q1
2568,21100840013,Science China Materials,journal,Q1
2569,19700201154,Therapeutic Advances in Chronic Disease,journal,Q1
2570,12887,Cognitive Therapy and Research,journal,Q1
2571,19900191888,Journal of Parkinson's Disease,journal,Q1
2572,16072,Harvard Review of Psychiatry,journal,Q1
2573,18300156728,IEEE Transactions on Services Computing,journal,Q1
2574,22383,International Journal of Medical Microbiology,journal,Q1
2575,17905,Yeast,journal,Q1
2576,28944,Atomic Data and Nuclear Data Tables,journal,Q1
2577,25785,Combinatorica,journal,Q1
2578,15413,Journal of Cognition and Development,journal,Q1
2579,24604,Archives of Toxicology,journal,Q1
2580,12164,Brain and Language,journal,Q1
2581,18571,Fungal Genetics and Biology,journal,Q1
2582,20082,British Journal of Clinical Pharmacology,journal,Q1
2583,22120,Gene Expression,journal,Q2
2584,21100283775,Biology of Sex Differences,journal,Q1
2585,19700175167,Frontiers in Neuroinformatics,journal,Q1
2586,23429,Assessing Writing,journal,Q1
2587,15550,European Journal of Neuroscience,journal,Q2
2588,15503,Journal of Family Psychology,journal,Q1
2589,13453,Learning and Individual Differences,journal,Q1
2590,20296,Mitochondrion,journal,Q1
2591,17180,Animal Conservation,journal,Q1
2592,24096,"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni",journal,Q1
2593,19212,Current Rheumatology Reports,journal,Q1
2594,17304,NMR in Biomedicine,journal,Q1
2595,19600,Advances in Applied Microbiology,book series,Q1
2596,21527,Environmental Reviews,journal,Q1
2597,23861,Journal of Comparative Economics,journal,Q1
2598,21100369715,Metabolic Engineering Communications,journal,Q1
2599,20518,Pediatric Cardiac Surgery Annual,journal,Q1
2600,20346,Scandinavian Journal of Medicine and Science in Sports,journal,Q1
2601,21100422918,Bone and Joint Research,journal,Q1
2602,24309,International Journal of Neural Systems,journal,Q1
2603,4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",journal,Q1
2604,30787,AAPG Bulletin,journal,Q1
2605,15800154704,Cancer Prevention Research,journal,Q1
2606,21100794681,Studies in Second Language Learning and Teaching,journal,Q1
2607,12104,British Journal of Sociology of Education,journal,Q1
2608,21100398775,Clinical and Translational Allergy,journal,Q1
2609,8300153105,Current Reviews in Musculoskeletal Medicine,journal,Q1
2610,25813,Potential Analysis,journal,Q1
2611,70792,"Tellus, Series A: Dynamic Meteorology and Oceanography",journal,Q1
2612,35824,Agricultural Water Management,journal,Q1
2613,21466,International Journal of Hygiene and Environmental Health,journal,Q1
2614,17139,Materials and Structures/Materiaux et Constructions,journal,Q1
2615,21103,Milbank Quarterly,journal,Q1
2616,20662,Entrepreneurship and Regional Development,journal,Q1
2617,26176,Journal of Molecular Endocrinology,journal,Q1
2618,16922,Labour Economics,journal,Q1
2619,28558,BMC Geriatrics,journal,Q1
2620,4400151717,Journal of Applied Meteorology and Climatology,journal,Q2
2621,16453,Osteoporosis International,journal,Q1
2622,16761,Journal of Neuropathology and Experimental Neurology,journal,Q1
2623,17600155059,Cancer cytopathology,journal,Q1
2624,27433,Classical and Quantum Gravity,journal,Q1
2625,23877,Journal of Hypertension,journal,Q1
2626,21100894055,Physical Review Materials,journal,Q1
2627,14077,Psychotherapy,journal,Q1
2628,21100316072,Trends in Environmental Analytical Chemistry,journal,Q1
2629,24602,Aquatic Toxicology,journal,Q1
2630,12551,Best Practice and Research in Clinical Obstetrics and Gynaecology,journal,Q1
2631,19760,International Journal of Food Microbiology,journal,Q1
