Authors,Author(s) ID,Title,Faculty,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Dinarti L.K., Hartopo A.B., Kusuma A.D., Satwiko M.G., Hadwiono M.R., Pradana A.D., Anggrahini D.W.",57192908812;36056281100;57216310042;56798617900;57216309932;57216310278;35285645700;,The COngenital HeARt Disease in adult and Pulmonary Hypertension (COHARD-PH) registry: A descriptive study from single-center hospital registry of adult congenital heart disease and pulmonary hypertension in Indonesia,Kedokteran,2020,BMC Cardiovascular Disorders,20,1,163,,,,1,10.1186/s12872-020-01434-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083071632&doi=10.1186%2fs12872-020-01434-z&partnerID=40&md5=63e48e08e747f6b8e14c6bafbfa00615,"Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia","Dinarti, L.K., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Hartopo, A.B., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Kusuma, A.D., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Satwiko, M.G., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Hadwiono, M.R., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Pradana, A.D., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia; Anggrahini, D.W., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Dr. Sardjito Hospital, Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85083071632
"Rosyida I., Widodo, Indrati C.R., Indriati D.",56181492900;57196100708;55757054500;55850447600;,Algorithms to determine fuzzy chromatic number of cartesian product and join of fuzzy graphs,MIPA,2020,Journal of Physics: Conference Series,1489,1,12005,,,,1,10.1088/1742-6596/1489/1/012005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083242759&doi=10.1088%2f1742-6596%2f1489%2f1%2f012005&partnerID=40&md5=f4c8cd0e3dbaef583d98827a6c4c32af,"Department of Mathematics, Universitas Negeri Semarang, Semarang, Indonesia; Department of Mathematics, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Mathematics, Universitas Sebelas Maret, Surakarta, Indonesia","Rosyida, I., Department of Mathematics, Universitas Negeri Semarang, Semarang, Indonesia; Widodo, Department of Mathematics, Universitas Gadjah Mada, Yogyakarta, Indonesia; Indrati, C.R., Department of Mathematics, Universitas Gadjah Mada, Yogyakarta, Indonesia; Indriati, D., Department of Mathematics, Universitas Sebelas Maret, Surakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083242759
"Indriati D., Widodo, Rosyida I.",55850447600;57196100708;56181492900;,Edge Irregular Reflexive Labeling on Corona of Path and Other Graphs,MIPA,2020,Journal of Physics: Conference Series,1489,1,12004,,,,,10.1088/1742-6596/1489/1/012004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083164615&doi=10.1088%2f1742-6596%2f1489%2f1%2f012004&partnerID=40&md5=57069f4560d7d260123375fcffa8d89a,"Faculty of Mathematics and Natural Sciences, Universitas Sebelas Maret, Surakarta, Indonesia; Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Faculty of Mathematics and Natural Sciences, Universitas Negeri Semarang, Semarang, Indonesia","Indriati, D., Faculty of Mathematics and Natural Sciences, Universitas Sebelas Maret, Surakarta, Indonesia; Widodo, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Rosyida, I., Faculty of Mathematics and Natural Sciences, Universitas Negeri Semarang, Semarang, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083164615
"Nikita, Santosa H.B., Kasim F., Prasetyo E.Y., Ayash M.Y.",57216462325;55961595800;57216460004;57193493127;57216459815;,Mitigating accidental ammonia (NH3) release from storage tank based on risk distribution using ALOHA and fault tree analysis in PT. Sarihusada Generasi Mahardhika 2 Klaten,Teknik,2020,AIP Conference Proceedings,2223,,40006,,,,,10.1063/5.0003348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083588672&doi=10.1063%2f5.0003348&partnerID=40&md5=09366b06ecdc3def443ed80e6d90109b,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia","Nikita, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Santosa, H.B., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Kasim, F., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Prasetyo, E.Y., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Ayash, M.Y., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083588672
"Pradipta N.N., Irawati D.",57216463164;54681908500;,Reducing sugar production of 3 species mushrooms spent media for bioethanol,Kehutanan,2020,AIP Conference Proceedings,2223,,20003,,,,,10.1063/5.0001016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083586436&doi=10.1063%2f5.0001016&partnerID=40&md5=584f21eaa3d27904f90afffdd9053d53,"Faculty of Forestry, Universitas Gadjah Mada, Yogyakarta, Indonesia","Pradipta, N.N., Faculty of Forestry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Irawati, D., Faculty of Forestry, Universitas Gadjah Mada, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083586436
"Prasetya G.A., Wijayanti E., Ferdiansjah F.",57216462435;57216459922;57208315991;,Dependence of temperature and initial concentration in cesium adsorption as experimental radioactive waste using metal organic frameworks [Zn4O(BDC)3],Teknik,2020,AIP Conference Proceedings,2223,,30006,,,,,10.1063/5.0003956,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083583441&doi=10.1063%2f5.0003956&partnerID=40&md5=346ac3ffd6c0064d1b6988cfe513f066,"Process Technology and Nuclear Chemistry Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia","Prasetya, G.A., Process Technology and Nuclear Chemistry Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Wijayanti, E., Process Technology and Nuclear Chemistry Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Ferdiansjah, F., Process Technology and Nuclear Chemistry Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083583441
"Awienandra I.G.B., Agung A., Mondjo",57216464202;8515528500;57188736160;,Thermal hydraulics analysis of KLT-40S floating nuclear power plant in rolling - Heaving and pitching - Heaving motion at various sea state condition with RELAP5 - 3D code,Teknik,2020,AIP Conference Proceedings,2223,,30001,,,,,10.1063/5.0000828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083581132&doi=10.1063%2f5.0000828&partnerID=40&md5=463aab5ccb6614446fd2c9554868498d,"Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia","Awienandra, I.G.B., Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Agung, A., Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Mondjo, Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083581132
"Yanti R.J., Faridah, Mustika I.W., Ariananda D.D., Utami S.S.",57188862294;55847299800;36185944100;35145324800;54391849700;,Analysis of Gaussian process to predict thermal sensor placement for controlling energy consumption on the educational building,Teknik,2020,AIP Conference Proceedings,2223,,50006,,,,,10.1063/5.0000923,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083564469&doi=10.1063%2f5.0000923&partnerID=40&md5=e54e41c9d55ffbfb137ef1ec8820461d,"Electrical Engineering and Information Technology Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia; Nuclear Engineering and Engineering Physics Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia","Yanti, R.J., Electrical Engineering and Information Technology Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia; Faridah, Nuclear Engineering and Engineering Physics Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia; Mustika, I.W., Electrical Engineering and Information Technology Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia; Ariananda, D.D., Electrical Engineering and Information Technology Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia; Utami, S.S., Nuclear Engineering and Engineering Physics Department, UGM, Indonesia Grafika Street No. 2, Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083564469
"Phungky S., Agung A., Sihana",57216455913;8515528500;56897200700;,Analysis of natural convection capability in NuScale primary cooling systems with mixture of uranium and plutonium (mixed oxide) fuel using RELAP5-3D,Teknik,2020,AIP Conference Proceedings,2223,,30002,,,,,10.1063/5.0000840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083562974&doi=10.1063%2f5.0000840&partnerID=40&md5=937bdf4f0ff66fbf178d83e863f74ab2,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia","Phungky, S., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Agung, A., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Sihana, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083562974
"Awaluddin S.S., Sihana, Agung A.",57216457631;56897200700;8515528500;,Temperature coefficient and conversion ratio analysis on proposed modified core model traveling wave reactor prototype,Teknik,2020,AIP Conference Proceedings,2223,,30003,,,,,10.1063/5.0000841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083561441&doi=10.1063%2f5.0000841&partnerID=40&md5=f6fc5c80f195fd30ab6892eb35d4f393,"Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia","Awaluddin, S.S., Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Sihana, Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Agung, A., Nuclear Energy Technology Laboratory, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083561441
"Prabaningrum N., Mondjo, Dwiputra G., Anwar P.D., Meilani A.N., Istiqomah A.",54994043100;57188736160;57216461150;57216457641;57216459165;57216459224;,Optimization of in situ esterification of Reutealis trisperma seeds,Teknik,2020,AIP Conference Proceedings,2223,,20007,,,,,10.1063/5.0004385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083558827&doi=10.1063%2f5.0004385&partnerID=40&md5=b3cbb911d152afaada92655992fd9a7e,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia","Prabaningrum, N., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia; Mondjo, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia; Dwiputra, G., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia; Anwar, P.D., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia; Meilani, A.N., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia; Istiqomah, A., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jalan Grafika 2, Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083558827
"Rahman Y., Muharini A., Putero S.H.",57216457068;56075038800;55960043300;,Analysis of strontium isothermal adsorption using metal-organic frameworks [HKUST-1] based on variation of operating temperatures and variations of main initial concentration,Teknik,2020,AIP Conference Proceedings,2223,,30007,,,,,10.1063/5.0001005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083555507&doi=10.1063%2f5.0001005&partnerID=40&md5=395d0f638a365532f71468268030a3e1,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika 2, Yogyakarta, 55281, Indonesia","Rahman, Y., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika 2, Yogyakarta, 55281, Indonesia; Muharini, A., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika 2, Yogyakarta, 55281, Indonesia; Putero, S.H., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika 2, Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083555507
"Baskara S.A., Ardiyanto B., Utami S.S.",57216457346;57216462992;54391849700;,"Cooling load analysis in educational building using building thermal dynamic simulation in Yogyakarta, Indonesia",Teknik,2020,AIP Conference Proceedings,2223,,50007,,,,,10.1063/5.0004102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083552798&doi=10.1063%2f5.0004102&partnerID=40&md5=d50e387b18b322604a15cab6e83d61a2,"Nuclear Engineering and Engineering Physics Department, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, Indonesia","Baskara, S.A., Nuclear Engineering and Engineering Physics Department, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, Indonesia; Ardiyanto, B., Nuclear Engineering and Engineering Physics Department, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, Indonesia; Utami, S.S., Nuclear Engineering and Engineering Physics Department, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083552798
"Rosita W., Bendiyasa I.M., Perdana I., Anggara F.",55960877300;26434218500;8673082600;55223995900;,Recovery of rare earth elements and Yttrium from Indonesia coal fly ash using sulphuric acid leaching,Teknik,2020,AIP Conference Proceedings,2223,,50004,,,,,10.1063/5.0000836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083552481&doi=10.1063%2f5.0000836&partnerID=40&md5=c6ad57a4bdce142327387d87b0fdcedc,"Department of Chemical Engineering (Sustainable Mineral Processing Research Group), Universitas Gadjah Mada, Jl.Grafika No 2, Yogyakarta, Indonesia; Department of Nuclear Engineering and Engineering Physics, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia; Department of Geological Engineering, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia; Uncoventional Geo-resources Research Group, Faculty of Engineering, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia","Rosita, W., Department of Chemical Engineering (Sustainable Mineral Processing Research Group), Universitas Gadjah Mada, Jl.Grafika No 2, Yogyakarta, Indonesia, Department of Nuclear Engineering and Engineering Physics, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia; Bendiyasa, I.M., Department of Chemical Engineering (Sustainable Mineral Processing Research Group), Universitas Gadjah Mada, Jl.Grafika No 2, Yogyakarta, Indonesia; Perdana, I., Department of Chemical Engineering (Sustainable Mineral Processing Research Group), Universitas Gadjah Mada, Jl.Grafika No 2, Yogyakarta, Indonesia, Uncoventional Geo-resources Research Group, Faculty of Engineering, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia; Anggara, F., Department of Geological Engineering, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia, Uncoventional Geo-resources Research Group, Faculty of Engineering, Universitas Gadjah Mada, Jl Grafika no 2, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083552481
"Prasetyo E.Y., Santosa H.B., Kasim F., Nikita, Ayash Y.",57193493127;55961595800;57216460004;57216462325;57216460646;,Risk assessment and mitigation of fire in compressed natural gas (CNG) station using ALOHA and fault tree method at PT. Sarihusada Generasi Mahardhika 2 Klaten,Teknik,2020,AIP Conference Proceedings,2223,,50005,,,,,10.1063/5.0003917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083550132&doi=10.1063%2f5.0003917&partnerID=40&md5=b5c4d3e218ad23a41e570b2ac7af49de,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia","Prasetyo, E.Y., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Santosa, H.B., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Kasim, F., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Nikita, Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia; Ayash, Y., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083550132
"Sari T., Sopha B.M.",57195197765;35729832600;,Designing supply chain network of photovoltaic in Indonesia,Teknik,2020,AIP Conference Proceedings,2223,,20001,,,,,10.1063/5.0000987,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083566241&doi=10.1063%2f5.0000987&partnerID=40&md5=701d1ffabb250bf0364737b27fa89551,"Industrial Engineering Program, Faculty of Science and Technology, Universitas Islam Negeri Sunan Kalijaga, Yogyakarta, Indonesia; Industrial Engineering Program, Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia","Sari, T., Industrial Engineering Program, Faculty of Science and Technology, Universitas Islam Negeri Sunan Kalijaga, Yogyakarta, Indonesia; Sopha, B.M., Industrial Engineering Program, Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083566241
"Sopha B.M., Ma'Mun S.",35729832600;8284922200;,System dynamics simulation of private and public transportation in a developing country,Teknik,2020,AIP Conference Proceedings,2223,,50009,,,,,10.1063/5.0000818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083548045&doi=10.1063%2f5.0000818&partnerID=40&md5=fc345b5d84b79e83dd0f101f29389242,"Industrial Engineering Program, Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Chemical Engineering, Universitas Islam Indonesia, Yogyakarta, Indonesia","Sopha, B.M., Industrial Engineering Program, Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Ma'Mun, S., Department of Chemical Engineering, Universitas Islam Indonesia, Yogyakarta, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083548045
"Budiastuti K., Chalida N., Mohamad N.E.A.P., Tohari",57216415715;57216410866;57216410443;57195432492;,Seed priming alleviates crop growth inhibition by salinity,Pertanian,2020,IOP Conference Series: Earth and Environmental Science,458,1,12006,,,,,10.1088/1755-1315/458/1/012006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083420825&doi=10.1088%2f1755-1315%2f458%2f1%2f012006&partnerID=40&md5=a331cb764ae663dfaed95f63fee8a9a5,"Agronomy Department, Faculty of Agriculture, Universitas Gadjah Mada, Bulaksumur, Sleman Yogyakarta, 55281, Indonesia","Budiastuti, K., Agronomy Department, Faculty of Agriculture, Universitas Gadjah Mada, Bulaksumur, Sleman Yogyakarta, 55281, Indonesia; Chalida, N., Agronomy Department, Faculty of Agriculture, Universitas Gadjah Mada, Bulaksumur, Sleman Yogyakarta, 55281, Indonesia; Mohamad, N.E.A.P., Agronomy Department, Faculty of Agriculture, Universitas Gadjah Mada, Bulaksumur, Sleman Yogyakarta, 55281, Indonesia; Tohari, Agronomy Department, Faculty of Agriculture, Universitas Gadjah Mada, Bulaksumur, Sleman Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083420825
"Ramadhani E.L., Triatmodjo B., Pratiwi E.P.A.",57216334019;57189868075;57057682900;,"Study of inundation control on Kelayan Regional Inundation Handling Unit in Banjarmasin, South Borneo",Teknik,2020,IOP Conference Series: Earth and Environmental Science,448,1,12124,,,,,10.1088/1755-1315/448/1/012124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083286363&doi=10.1088%2f1755-1315%2f448%2f1%2f012124&partnerID=40&md5=6e53b9dd1bdf4d454c57a38cd0600926,"Department of Civil and Environmental Engineering, Gadjah Mada University, Yogyakarta, 55281, Indonesia","Ramadhani, E.L., Department of Civil and Environmental Engineering, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Triatmodjo, B., Department of Civil and Environmental Engineering, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Pratiwi, E.P.A., Department of Civil and Environmental Engineering, Gadjah Mada University, Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083286363
"Cahyadi A., Haryono E., Adji T.N., Widyastuti M., Riyanto I.A., Naufal M., Ramadhan F.",55979018700;6508073148;54987826800;57195913207;57205442854;57207845165;57201588074;,"Allogenic River in the Hydrogeological System of Gremeng Cave, Gunungsewu Karst Area, Java Island, Indonesia",Geografi,2020,IOP Conference Series: Earth and Environmental Science,448,1,12018,,,,,10.1088/1755-1315/448/1/012018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083163904&doi=10.1088%2f1755-1315%2f448%2f1%2f012018&partnerID=40&md5=b24644a28e106e2cbb0c4a62ad45edf8,"Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Master Program on Planning and Management of Coastal Area and Watershed, Faculty of Geography, Universitas Gadjah Mada, Indonesia","Cahyadi, A., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Haryono, E., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Adji, T.N., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Widyastuti, M., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Riyanto, I.A., Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Master Program on Planning and Management of Coastal Area and Watershed, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Naufal, M., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia; Ramadhan, F., Department of Environmental Geography, Faculty of Geography, Universitas Gadjah Mada, Indonesia, Karst Research Group, Faculty of Geography, Universitas Gadjah Mada, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083163904
"Aristya G.R., Kurniawan F.Y., Prabowo H., Kasiamdari R.S.",57190936040;57216418862;57205429801;6507916857;,Screening of environmental stress tolerant superior sugarcane (Saccharum officinarum L.),Biologi,2020,IOP Conference Series: Earth and Environmental Science,458,1,12004,,,,,10.1088/1755-1315/458/1/012004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083437335&doi=10.1088%2f1755-1315%2f458%2f1%2f012004&partnerID=40&md5=671130db4fef5a0793c17590645c99fd,"Genetics and Breeding Laboratory, Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia; Fresh Graduate of Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia; Indonesian Sweetener and Fiber Crops Research Institute, East Java Malang, 65152, Indonesia; Plant Systematics Laboratory, Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia","Aristya, G.R., Genetics and Breeding Laboratory, Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia; Kurniawan, F.Y., Fresh Graduate of Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia; Prabowo, H., Indonesian Sweetener and Fiber Crops Research Institute, East Java Malang, 65152, Indonesia; Kasiamdari, R.S., Plant Systematics Laboratory, Faculty of Biology, Universitas Gadjah Mada, Sleman, D.I. Yogyakarta, 55281, Indonesia",Conference Paper,Final,Open Access,Scopus,2-s2.0-85083437335
